Time,trans_x,trans_y,trans_z,rot_z
1.37,107.357940822036,627.671822752912,65.8143991182246,30.1519225130357
1.38,107.823830750725,627.996686104344,66.3190393602956,30.1519225130357
1.39,108.274619556212,628.307831799914,67.0565093857052,30.1519225130357
1.4,108.642887042456,628.619144122756,67.8880435263176,30.8086213069947
1.41,109.02977655378,628.922482735241,68.9049313418271,30.8086213069947
1.42,109.384021392618,629.205316896846,70.1019578507962,30.8086213069947
1.43,109.660460923766,629.493153451597,71.4269388157733,30.8086213069947
1.44,109.953860464277,629.784861518842,72.8730539850142,30.8086213069947
1.45,110.188583080568,630.063326132702,74.4741055115693,31.5454989663814
1.46,110.360974164215,630.353162537148,76.1970704107905,31.5454989663814
1.47,110.531154804075,630.632608462904,78.0645472191917,31.5454989663814
1.48,110.644086777519,630.904888248881,80.0430686996225,31.5454989663814
1.49,110.755843634966,631.175558735159,82.1693043829759,31.5454989663814
1.5,110.846982568982,631.447485683545,84.3890985554157,32.3282669164838
1.51,110.927957530026,631.694099993516,86.797707077091,32.3282669164838
1.52,110.968520167389,631.949792635266,89.2338525424852,32.3282669164838
1.53,110.954146903224,632.17140112264,91.7450331316737,32.3282669164838
1.54,110.938489391844,632.41286993534,94.4511878020245,32.3282669164838
1.55,110.917231986243,632.664244019578,97.2549622271301,33.0970758347944
1.56,110.927190836225,632.920784121635,100.131759548853,33.0970758347944
1.57,110.967571553814,633.120056073157,103.119774718288,33.0970758347944
1.58,110.949648907946,633.393082537564,106.19674971752,33.0970758347944
1.59,110.937681326337,633.656270193943,109.313211505415,33.0970758347944
1.6,110.95687130272,633.894546508364,112.517777245826,33.7553032393517
1.61,110.985985333071,634.150604657799,115.806137511876,33.7553032393517
1.62,111.015766966789,634.40311327589,119.14646676602,33.7553032393517
1.63,111.084006595322,634.61959817496,122.607743009953,33.7553032393517
1.64,111.107541911315,634.84226646251,126.040475924443,33.7553032393517
1.65,111.154438954029,635.044470409248,129.55510855011,34.2431222407211
1.66,111.237526210207,635.233671577198,133.101293168488,34.2431222407211
1.67,111.342017758253,635.412283341452,136.662301392144,34.2431222407211
1.68,111.455820048965,635.587753626596,140.289724317201,34.2431222407211
1.69,111.584886827495,635.706899727123,143.923659570726,34.2431222407211
1.7,111.73285372373,635.873768690013,147.70080582971,34.5255997092437
1.71,111.88980442692,635.998123992031,151.460210208282,34.5255997092437
1.72,112.080682974419,636.185469420839,155.310600921822,34.5255997092437
1.73,112.331589117536,636.371905129832,159.221259964414,34.5255997092437
1.74,112.515931560445,636.540553654012,163.095368695178,34.5255997092437
1.75,112.706346481005,636.670741388327,166.980312300598,34.5715007295355
1.76,112.941029426892,636.799746370656,170.927011677993,34.5715007295355
1.77,113.197171570037,636.911488229184,174.93688192626,34.5715007295355
1.78,113.461759567166,637.002198078264,178.969638950096,34.5715007295355
1.79,113.775883306483,637.109102781439,183.021253634857,34.5715007295355
1.8,114.103080496869,637.190875388182,187.098148168819,34.4408288367662
1.81,114.43595194707,637.258761342978,191.208331916889,34.4408288367662
1.82,114.797095779806,637.326717559967,195.363517562238,34.4408288367662
1.83,115.164890061563,637.379457882963,199.541542600055,34.4408288367662
1.84,115.542838894621,637.431141236284,203.75751066634,34.4408288367662
1.85,116.001641651809,637.603620849031,208.054693634857,34.1772470541859
1.86,116.391578436328,637.627011527934,212.338029742612,34.1772470541859
1.87,116.804491254355,637.657723112273,216.674209207473,34.1772470541859
1.88,117.215572495117,637.69047494105,221.029852394653,34.1772470541859
1.89,117.626006494916,637.712929558057,225.413662484083,34.1772470541859
1.9,118.087086836542,637.75315080726,229.884731967066,33.7951448315745
1.91,118.53685813005,637.786924597723,234.384351164258,33.7951448315745
1.92,118.9885450459,637.878786775534,238.890203999595,33.7951448315745
1.93,119.450361594442,637.873661265398,243.449330413941,33.7951448315745
1.94,119.896379877022,637.875182821789,248.014969967233,33.7951448315745
1.95,120.413255215333,637.887955167242,252.650694721422,33.374896811732
1.96,120.859415932158,637.884824988582,257.273384196404,33.374896811732
1.97,121.302672236208,637.8732185119,261.9212728207,33.374896811732
1.98,121.764266790157,637.86399499149,266.605434835112,33.374896811732
1.99,122.212930913919,637.844760789743,271.346372145671,33.374896811732
2,122.721680893927,637.828883737039,276.135583972397,32.9662478034114
2.01,123.162437126551,637.817727371604,280.896540875579,32.9662478034114
2.02,123.604932655785,637.791873097388,285.698355624892,32.9662478034114
2.03,124.036163940317,637.744235119721,290.559151632608,32.9662478034114
